"Site","LatinName","CommonName","Height","Spread","AgeGroup","DiameterAt","Easting","Northing"
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328092,671054
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328099,671061
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328106,671067
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328109,671071
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328127,671089
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328131,671093
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328159,670743
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328162,670740
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328165,670737
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328166,670734
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328168,670731
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","6 to 9 meters","Middle Aged","40 - 50",328172,670727
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","6 to 9 meters","Middle Aged","40 - 50",328172,671133
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328175,670723
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","6 to 9 meters","Middle Aged","40 - 50",328178,670720
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328182,670715
"Craigmillar Castle Park","Sorbus aucuparia","Rowan","Up to 5 meters","Up to 3 meters","Juvenile","10 - 20",328184,670992
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Middle Aged","30 - 40",328186,670710
"Craigmillar Castle Park","Sorbus aucuparia","Rowan","Up to 5 meters","Up to 3 meters","Juvenile","10 - 20",328188,670995
"Craigmillar Castle Park","Betula pendula","Silver Birch","10 to 15 meters","3 to 6 meters","Middle Aged","30 - 40",328192,670702
"Craigmillar Castle Park","Sorbus aucuparia","Rowan","Up to 5 meters","Up to 3 meters","Juvenile","10 - 20",328192,670999
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328193,670704
"Craigmillar Castle Park","Sorbus aucuparia","Rowan","Up to 5 meters","Up to 3 meters","Juvenile","10 - 20",328196,671002
"Craigmillar Castle Park","Sorbus aucuparia","Rowan","Up to 5 meters","Up to 3 meters","Juvenile","10 - 20",328200,671005
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328201,670704
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328204,670688
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","9 to 12 meters","Middle Aged","30 - 40",328204,671156
"Craigmillar Castle Park","Sorbus aucuparia","Rowan","Up to 5 meters","Up to 3 meters","Juvenile","10 - 20",328204,671008
"Craigmillar Castle Park","Acer platanoides","Norway Maple","15 to 20 meters","9 to 12 meters","Middle Aged","40 - 50",328205,671151
"Craigmillar Castle Park","Populus spp.","Poplar spp","15 to 20 meters","9 to 12 meters","Middle Aged","50 - 60",328206,670699
"Craigmillar Castle Park","Populus spp.","Poplar spp","15 to 20 meters","9 to 12 meters","Middle Aged","50 - 60",328207,670698
"Craigmillar Castle Park","Sorbus aucuparia","Rowan","Up to 5 meters","Up to 3 meters","Juvenile","10 - 20",328208,671011
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328210,670687
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","15 to 20 meters","9 to 12 meters","Middle Aged","50 - 60",328211,671150
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328212,670697
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328213,670676
"Craigmillar Castle Park","Acer platanoides","Norway Maple","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328216,671145
"Craigmillar Castle Park","Acer platanoides","Norway Maple","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328217,670681
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328217,670671
"Craigmillar Castle Park","Betula spp.","Birch spp","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328220,670666
"Craigmillar Castle Park","Laburnum spp.","Laburnum spp","5 to 10 meters","3 to 6 meters","Mature","20 - 30",328221,670676
"Craigmillar Castle Park","Betula spp.","Birch spp","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328222,670665
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","9 to 12 meters","Middle Aged","40 - 50",328223,671136
"Craigmillar Castle Park","Acer platanoides","Norway Maple","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328227,670667
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328228,670674
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Middle Aged","30 - 40",328228,670663
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","9 to 12 meters","Middle Aged","40 - 50",328228,671131
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","Over 12 meters","Middle Aged","80 - 90",328232,671128
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328237,671125
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328240,670647
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328240,671121
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","30 - 40",328242,670654
"Craigmillar Castle Park","Populus spp.","Poplar spp","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328244,670649
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328250,670640
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","3 to 6 meters","Middle Aged","30 - 40",328250,670634
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","70 - 80",328252,671112
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","3 to 6 meters","Middle Aged","30 - 40",328256,670634
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","70 - 80",328256,671106
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328257,670627
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","6 to 9 meters","Middle Aged","40 - 50",328257,670620
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","3 to 6 meters","Middle Aged","30 - 40",328259,670630
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328262,671104
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328265,671098
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328265,670616
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328266,670620
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328266,670625
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Middle Aged","20 - 30",328266,670608
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","3 to 6 meters","Middle Aged","30 - 40",328269,670605
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328270,671093
"Craigmillar Castle Park","Acer platanoides","Norway Maple","15 to 20 meters","6 to 9 meters","Middle Aged","30 - 40",328271,671096
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328271,670618
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328273,670607
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328273,670602
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","40 - 50",328275,670613
"Craigmillar Castle Park","Acer platanoides","Norway Maple","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328277,671091
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328277,670603
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328279,670609
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","30 - 40",328281,670606
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328281,670595
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328283,670604
"Craigmillar Castle Park","Fagus sylvatica","Common Beech","5 to 10 meters","3 to 6 meters","Middle Aged","30 - 40",328283,671079
"Craigmillar Castle Park","Populus spp.","Poplar spp","15 to 20 meters","9 to 12 meters","Middle Aged","30 - 40",328285,670599
"Craigmillar Castle Park","Acer platanoides","Norway Maple","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328286,671084
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","3 to 6 meters","Middle Aged","30 - 40",328286,670594
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","10 to 15 meters","9 to 12 meters","Middle Aged","60 - 70",328288,671077
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328289,670596
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328289,670585
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","50 - 60",328293,671077
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328294,670584
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328296,670588
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","50 - 60",328298,670580
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328300,670583
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328304,670577
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328305,671293
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328307,671291
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","Up to 5 meters","3 to 6 meters","Mature","40 - 50",328307,670779
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","Up to 5 meters","3 to 6 meters","Mature","40 - 50",328309,670777
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","40 - 50",328310,670570
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","70 - 80",328310,671310
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","6 to 9 meters","Middle Aged","40 - 50",328310,671288
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328311,670564
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","10 to 15 meters","9 to 12 meters","Middle Aged","60 - 70",328312,671308
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","10 to 15 meters","9 to 12 meters","Mature","50 - 60",328312,670774
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Middle Aged","20 - 30",328313,670561
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Middle Aged","40 - 50",328315,671280
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328316,670555
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","15 to 20 meters","9 to 12 meters","Mature","70 - 80",328316,670768
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328318,671303
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328319,670555
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","9 to 12 meters","Middle Aged","60 - 70",328320,671279
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328321,670553
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","10 to 15 meters","9 to 12 meters","Mature","40 - 50",328321,670761
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","50 - 60",328322,671299
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328324,670552
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","10 to 15 meters","9 to 12 meters","Mature","50 - 60",328325,670756
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","50 - 60",328326,671293
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","10 to 15 meters","9 to 12 meters","Mature","60 - 70",328326,670755
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328327,670547
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328327,671291
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","60 - 70",328328,670542
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","3 to 6 meters","Middle Aged","20 - 30",328329,670545
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","Up to 5 meters","3 to 6 meters","Mature","40 - 50",328329,670751
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328330,671308
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328331,670544
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","Up to 5 meters","3 to 6 meters","Mature","20 - 30",328331,670749
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328332,671291
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","15 to 20 meters","6 to 9 meters","Middle Aged","60 - 70",328332,670770
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","Up to 5 meters","3 to 6 meters","Mature","20 - 30",328332,670748
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","Up to 5 meters","3 to 6 meters","Mature","30 - 40",328333,670747
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Juvenile","10 - 20",328334,670533
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Juvenile","10 - 20",328334,670532
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328336,670531
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","6 to 9 meters","Middle Aged","50 - 60",328336,670536
"Craigmillar Castle Park","Prunus spp.","Cherry spp","5 to 10 meters","9 to 12 meters","Middle Aged","40 - 50",328019,671039
"Craigmillar Castle Park","Pinus sylvestris","Scots Pine","10 to 15 meters","3 to 6 meters","Middle Aged","30 - 40",328342,670524
"Craigmillar Castle Park","Sambucus nigra","Common Elder","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328342,670522
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328343,670521
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328343,670753
"Craigmillar Castle Park","Crataegus monogyna","Hawthorn","5 to 10 meters","3 to 6 meters","Mature","30 - 40",328343,670525
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328344,670520
"Craigmillar Castle Park","Ilex aquifolium","Common Holly","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328344,670520
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328345,670518
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328345,670519
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328346,670517
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328346,670517
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","10 to 15 meters","6 to 9 meters","Middle Aged","60 - 70",328346,670982
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","50 - 60",328347,670529
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","6 to 9 meters","Middle Aged","40 - 50",328347,670970
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","6 to 9 meters","Middle Aged","20 - 30",328348,670969
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328349,670971
"Craigmillar Castle Park","Pinus nigra 'Maritima'","Corsican Pine","15 to 20 meters","6 to 9 meters","Middle Aged","50 - 60",328349,670520
"Craigmillar Castle Park","Pinus sylvestris","Scots Pine","15 to 20 meters","3 to 6 meters","Middle Aged","40 - 50",328351,670520
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328352,670741
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328353,670510
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","10 to 15 meters","9 to 12 meters","Middle Aged","30 - 40",328354,670973
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328356,670506
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328356,670506
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","15 to 20 meters","9 to 12 meters","Mature","60 - 70",328357,670734
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328358,670990
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328358,670709
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328359,670513
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","10 to 15 meters","9 to 12 meters","Middle Aged","40 - 50",328360,670972
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328360,670974
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328360,670498
"Craigmillar Castle Park","Sambucus nigra","Common Elder","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328360,670498
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328361,670500
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","15 to 20 meters","Over 12 meters","Middle Aged","60 - 70",328361,670728
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328361,670500
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328362,670512
"Craigmillar Castle Park","Pinus nigra 'Maritima'","Corsican Pine","15 to 20 meters","6 to 9 meters","Middle Aged","50 - 60",328362,670507
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328363,670503
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328363,670973
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","10 to 15 meters","3 to 6 meters","Middle Aged","30 - 40",328364,670970
"Craigmillar Castle Park","Fagus sylvatica","Common Beech","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328364,670495
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328364,670495
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328365,670972
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328365,670698
"Craigmillar Castle Park","Pinus sylvestris","Scots Pine","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328365,670494
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328366,670494
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328366,670971
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328366,670967
