"Site","LatinName","CommonName","Height","Spread","AgeGroup","DiameterAt","Easting","Northing"
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328491,671127
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328494,671123
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","3 to 6 meters","Semi-mature","20 - 30",328494,670405
"Craigmillar Castle Park","Fagus sylvatica","Common Beech","15 to 20 meters","Over 12 meters","Middle Aged","70 - 80",328497,670669
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","3 to 6 meters","Semi-mature","20 - 30",328498,670403
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328499,670403
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328501,671135
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","6 to 9 meters","Middle Aged","40 - 50",328504,671133
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328506,670400
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328509,670399
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328509,670400
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328509,670400
"Craigmillar Castle Park","Fagus sylvatica","Common Beech","15 to 20 meters","Over 12 meters","Middle Aged","70 - 80",328511,670677
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328513,670399
"Craigmillar Castle Park","Salix caprea","Goat Willow","5 to 10 meters","6 to 9 meters","Semi-mature","30 - 40",328519,670828
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328521,670908
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","3 to 6 meters","Semi-mature","20 - 30",328521,670892
"Craigmillar Castle Park","Betula pendula","Silver Birch","10 to 15 meters","3 to 6 meters","Middle Aged","20 - 30",328523,670972
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328524,670923
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328525,670675
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328526,670916
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328526,670889
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328527,670999
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","60 - 70",328527,671005
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328527,670919
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328527,670920
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328527,670919
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328527,670917
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328527,670885
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328527,670913
"Craigmillar Castle Park","Alnus glutinosa","Common Alder","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328527,670813
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","60 - 70",328528,671017
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328528,670918
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328528,670917
"Craigmillar Castle Park","Fagus sylvatica","Common Beech","15 to 20 meters","6 to 9 meters","Middle Aged","60 - 70",328528,671011
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328529,670883
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328529,670809
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","60 - 70",328530,671025
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328530,670918
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","70 - 80",328531,671031
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","70 - 80",328533,671019
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328533,671041
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328533,671047
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328533,670990
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","50 - 60",328534,671052
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","50 - 60",328534,671059
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328534,670394
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","5 to 10 meters","6 to 9 meters","Middle Aged","40 - 50",328534,671087
"Craigmillar Castle Park","Fagus sylvatica","Common Beech","20 to 25 meters","Over 12 meters","Middle Aged","70 - 80",328534,670646
"Craigmillar Castle Park","Quercus spp.","Oak spp","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328534,670985
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","70 - 80",328535,671010
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","Over 12 meters","Mature","70 - 80",328536,671068
"Craigmillar Castle Park","Fagus sylvatica","Common Beech","15 to 20 meters","9 to 12 meters","Mature","70 - 80",328536,670406
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","Over 12 meters","Mature","90 +",328537,671050
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","70 - 80",328538,671034
"Craigmillar Castle Park","Fagus sylvatica","Common Beech","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328539,670406
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","Over 12 meters","Mature","70 - 80",328540,671081
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","60 - 70",328541,671102
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","Over 12 meters","Mature","80 - 90",328542,671084
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","Over 12 meters","Middle Aged","60 - 70",328543,671063
"Craigmillar Castle Park","Fagus sylvatica","Common Beech","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328546,670402
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","15 to 20 meters","Over 12 meters","Middle Aged","60 - 70",328546,671080
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328549,670412
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328551,670427
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","50 - 60",328552,670390
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Mature","70 - 80",328552,670422
"Craigmillar Castle Park","Populus balsamifera","Balsam Poplar","10 to 15 meters","3 to 6 meters","Middle Aged","20 - 30",328552,671008
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328553,670405
"Craigmillar Castle Park","Populus balsamifera","Balsam Poplar","10 to 15 meters","3 to 6 meters","Middle Aged","30 - 40",328553,671005
"Craigmillar Castle Park","Salix caprea","Goat Willow","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328553,671003
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328555,670396
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","30 - 40",328555,670402
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","15 to 20 meters","Over 12 meters","Mature","70 - 80",328556,670637
"Craigmillar Castle Park","Populus balsamifera","Balsam Poplar","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328556,671026
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328558,670432
"Craigmillar Castle Park","Populus balsamifera","Balsam Poplar","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328559,671021
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","30 - 40",328560,670423
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","50 - 60",328564,670438
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328566,670429
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328566,670444
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328567,670459
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328569,670456
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328571,670441
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328571,670447
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328571,670472
"Craigmillar Castle Park","Fagus sylvatica","Common Beech","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328571,670633
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","40 - 50",328572,670462
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328573,670448
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328574,670473
"Craigmillar Castle Park","Salix caprea","Goat Willow","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328577,671039
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","3 to 6 meters","Middle Aged","30 - 40",328579,670459
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328579,670465
"Craigmillar Castle Park","Acer platanoides","Norway Maple","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328583,671039
"Craigmillar Castle Park","Acer platanoides","Norway Maple","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328585,671037
"Craigmillar Castle Park","Fagus sylvatica","Common Beech","20 to 25 meters","Over 12 meters","Mature","80 - 90",328585,671113
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","15 to 20 meters","Over 12 meters","Mature","70 - 80",328588,670630
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328603,670631
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328608,670635
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328610,670626
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Juvenile","10 - 20",328613,671025
"Craigmillar Castle Park","Salix caprea","Goat Willow","5 to 10 meters","6 to 9 meters","Middle Aged","10 - 20",328621,671023
"Craigmillar Castle Park","Salix caprea","Goat Willow","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328629,671018
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","20 to 25 meters","Over 12 meters","Mature","90 +",328630,671114
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","15 to 20 meters","Over 12 meters","Mature","80 - 90",328635,670845
"Craigmillar Castle Park","Salix caprea","Goat Willow","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328636,671013
"Craigmillar Castle Park","Populus balsamifera","Balsam Poplar","15 to 20 meters","6 to 9 meters","Middle Aged","30 - 40",328645,671010
"Craigmillar Castle Park","Populus balsamifera","Balsam Poplar","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328647,671012
"Craigmillar Castle Park","Fagus sylvatica","Common Beech","20 to 25 meters","Over 12 meters","Mature","80 - 90",328659,671105
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","Over 12 meters","Mature","70 - 80",328661,671114
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","Over 12 meters","Mature","90 +",328681,670917
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","Over 12 meters","Mature","70 - 80",328688,670926
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","9 to 12 meters","Middle Aged","60 - 70",328689,670663
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","9 to 12 meters","Middle Aged","60 - 70",328697,670686
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","Over 12 meters","Mature","90 +",328697,670933
"Craigmillar Castle Park","Fagus sylvatica","Common Beech","10 to 15 meters","9 to 12 meters","Middle Aged","60 - 70",328697,670666
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","Over 12 meters","Mature","90 +",328707,670895
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","Over 12 meters","Mature","80 - 90",328708,670937
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","9 to 12 meters","Middle Aged","50 - 60",328711,670655
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","9 to 12 meters","Middle Aged","60 - 70",328711,670682
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","Over 12 meters","Mature","90 +",328711,670876
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","9 to 12 meters","Middle Aged","50 - 60",328718,670666
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","9 to 12 meters","Middle Aged","50 - 60",328722,670648
"Craigmillar Castle Road, Edinburgh","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328723,670434
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","9 to 12 meters","Middle Aged","70 - 80",328724,671059
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","9 to 12 meters","Middle Aged","50 - 60",328727,670656
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","Over 12 meters","Mature","80 - 90",328728,670880
"Craigmillar Castle Road, Edinburgh","Salix caprea","Goat Willow","10 to 15 meters","6 to 9 meters","Middle Aged","20 - 30",328728,670440
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Mature","60 - 70",328731,670892
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","Over 12 meters","Mature","90 +",328731,670905
"Craigmillar Castle Road, Edinburgh","Salix caprea","Goat Willow","10 to 15 meters","6 to 9 meters","Middle Aged","20 - 30",328733,670445
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","9 to 12 meters","Middle Aged","50 - 60",328736,670647
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","9 to 12 meters","Middle Aged","50 - 60",328741,670659
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","10 to 15 meters","9 to 12 meters","Middle Aged","60 - 70",328744,671063
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","9 to 12 meters","Middle Aged","70 - 80",328748,671072
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","9 to 12 meters","Middle Aged","50 - 60",328774,670664
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","50 - 60",328785,670671
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","9 to 12 meters","Middle Aged","50 - 60",328788,670673
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328790,670693
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","50 - 60",328797,670678
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","Over 12 meters","Middle Aged","50 - 60",328798,670708
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","15 to 20 meters","9 to 12 meters","Middle Aged","70 - 80",328798,670984
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","70 - 80",328807,670683
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328808,670695
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328813,670996
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","50 - 60",328820,670705
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","9 to 12 meters","Middle Aged","50 - 60",328823,670714
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","50 - 60",328825,670707
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328830,670708
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","9 to 12 meters","Middle Aged","50 - 60",328831,670681
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","9 to 12 meters","Middle Aged","60 - 70",328833,670703
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","6 to 9 meters","Middle Aged","50 - 60",328834,670692
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","9 to 12 meters","Middle Aged","50 - 60",328843,670710
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","9 to 12 meters","Middle Aged","50 - 60",328852,670709
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","6 to 9 meters","Middle Aged","20 - 30",328924,670671
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328935,670678
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328950,670686
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Middle Aged","40 - 50",328960,671082
"Craigmillar Castle Park","Fagus sylvatica","Common Beech","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328960,671060
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328961,671085
"Craigmillar Castle Road, Edinburgh","Crataegus monogyna","Hawthorn","5 to 10 meters","6 to 9 meters","Mature","30 - 40",328962,670693
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328962,671095
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","3 to 6 meters","Middle Aged","30 - 40",328963,671102
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Middle Aged","30 - 40",328964,671104
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","3 to 6 meters","Middle Aged","30 - 40",328965,671094
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Middle Aged","30 - 40",328966,671108
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","3 to 6 meters","Middle Aged","30 - 40",328970,671115
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","3 to 6 meters","Middle Aged","30 - 40",328971,671116
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","3 to 6 meters","Middle Aged","30 - 40",328972,671117
"Craigmillar Castle Road, Edinburgh","Sambucus nigra","Common Elder","Up to 5 meters","3 to 6 meters","Juvenile","10 - 20",328988,670800
"Craigmillar Castle Road, Edinburgh","Fraxinus excelsior","Common Ash","Up to 5 meters","3 to 6 meters","Juvenile","10 - 20",328989,670725
"Craigmillar Castle Road, Edinburgh","Fraxinus excelsior","Common Ash","Up to 5 meters","3 to 6 meters","Juvenile","10 - 20",328989,670724
"Craigmillar Castle Road, Edinburgh","Fraxinus excelsior","Common Ash","Up to 5 meters","3 to 6 meters","Juvenile","10 - 20",328989,670724
"Craigmillar Castle Road, Edinburgh","Fraxinus excelsior","Common Ash","Up to 5 meters","3 to 6 meters","Juvenile","10 - 20",328990,670726
"Craigmillar Castle Road, Edinburgh","Sambucus nigra","Common Elder","Up to 5 meters","3 to 6 meters","Juvenile","10 - 20",328990,670777
"Craigmillar Castle Road, Edinburgh","Sambucus nigra","Common Elder","Up to 5 meters","3 to 6 meters","Juvenile","10 - 20",328990,670775
"Craigmillar Castle Road, Edinburgh","Populus tremula","Aspen","Up to 5 meters","3 to 6 meters","Juvenile","10 - 20",328994,670844
"Craigmillar Castle Road, Edinburgh","Populus tremula","Aspen","5 to 10 meters","3 to 6 meters","Juvenile","10 - 20",328994,670839
"Craigmillar Castle Road, Edinburgh","Populus tremula","Aspen","5 to 10 meters","3 to 6 meters","Juvenile","10 - 20",328994,670838
"Hawkhill Woods","Salix caprea","Goat Willow","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",329062,671048
"Hawkhill Woods","Crataegus monogyna","Hawthorn","Up to 5 meters","Up to 3 meters","Juvenile","10 - 20",329072,671038
"Hawkhill Woods","Crataegus monogyna","Hawthorn","Up to 5 meters","Up to 3 meters","Juvenile","10 - 20",329072,671033
"Hawkhill Woods","Salix caprea","Goat Willow","5 to 10 meters","6 to 9 meters","Semi-mature","10 - 20",329076,671112
"Hawkhill Woods","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",329079,671046
"Hawkhill Woods","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","20 - 30",329129,671064
